Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1751perm65 0.2158106286642942 7.54224238e-02 1.32433356e-02 2.24364149e-03 8.04390996e-04 2.93600716e-01 7.96992998e+00 3.64532609e-03 1.00545650e-01 5.06447526e-03 1.56604275e-01 8.21300656e-02 2.75262986e-02 1.37528135e+00 3.41063245e-03 2.26684285e-02 1.03344994e-01 1.12406075e-01 1.17098089e+00 1.16182528e+01 1.88160971e-06 3.30965310e-06 2.02815142e-08 3.25325132e-05 5.28312558e-01 1.06228837e-07 3.72509069e-07 6.92681267e-07 3.11862845e-07 3.57412444e-05 3.15253702e-08 2.49109436e-08 2.69875776e-06 5.31395197e-07 6.79272865e-05 6.01677130e-06 1.46105858e-01 3.83563078e-07
gen1751perm62 0.2159396721900732 7.51937812e-02 1.23234769e-02 1.56741527e-03 6.17635022e-04 3.21143044e-01 7.84699558e+00 3.59399124e-03 1.10931273e-01 3.58059399e-03 1.52165979e-01 9.11532288e-02 2.51316197e-02 1.45234221e+00 2.94136801e-03 2.21852711e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.14470723e+01 1.77783755e-06 3.31037983e-06 2.02815142e-08 3.30139251e-05 5.28312558e-01 9.17830926e-08 3.90144734e-07 7.93528607e-07 3.11361870e-07 2.32527920e-05 2.55519891e-08 2.29940318e-08 2.61682402e-06 5.42402620e-07 6.64027842e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm48 0.2160656157556686 7.45341107e-02 1.29956986e-02 1.66027395e-03 7.56998441e-04 2.80807849e-01 7.84699558e+00 3.59540179e-03 1.12657884e-01 4.14472049e-03 1.56604275e-01 7.90846855e-02 2.75262986e-02 1.37102924e+00 3.30273782e-03 2.26390265e-02 1.03755551e-01 1.12077080e-01 1.17098089e+00 1.21842747e+01 1.74493325e-06 3.35508268e-06 1.94391929e-08 3.04903565e-05 5.28312558e-01 1.01366488e-07 3.74365568e-07 6.98603433e-07 2.98408301e-07 2.25540736e-05 2.77043556e-08 2.29957404e-08 2.77197168e-06 5.31395197e-07 6.87744296e-05 6.27741934e-06 1.46105858e-01 3.93840144e-07
gen1751perm64 0.2161413711411491 7.47206749e-02 1.25897785e-02 1.54127174e-03 7.77390190e-04 3.14627391e-01 7.84699558e+00 3.59399124e-03 1.12657884e-01 3.14580802e-03 1.56604275e-01 8.21300656e-02 2.67765650e-02 1.18459264e+00 2.68868322e-03 2.26390265e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.23566036e+01 1.65140431e-06 3.31037983e-06 1.92448038e-08 3.21555750e-05 5.28312558e-01 9.31231206e-08 3.59624017e-07 7.40532291e-07 3.12409319e-07 2.19776048e-05 3.32964151e-08 2.73508493e-08 2.53794255e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.79206201e-07
gen1751perm107 0.2161865027072586 7.47206749e-02 1.26494351e-02 1.66027395e-03 8.39182399e-04 2.93600716e-01 8.00963056e+00 3.59399124e-03 1.10931273e-01 4.53609867e-03 1.54940551e-01 6.74518426e-02 2.95700104e-02 1.20365621e+00 3.14494126e-03 2.31723641e-02 9.76057340e-02 1.12406075e-01 1.17098089e+00 1.30219551e+01 1.64078120e-06 3.34406097e-06 1.88861392e-08 3.25325132e-05 5.29318094e-01 9.20369779e-08 4.41958342e-07 6.89120229e-07 3.22356912e-07 2.31045252e-05 3.36371471e-08 2.65523050e-08 2.53564954e-06 5.46259883e-07 7.22098858e-05 6.01677130e-06 1.46105858e-01 3.72395325e-07
gen1751perm119 0.2163431084035417 7.54224238e-02 1.25897785e-02 1.56741527e-03 8.76689134e-04 2.82202012e-01 7.78513974e+00 3.59399124e-03 1.10931273e-01 4.22808945e-03 1.54732794e-01 8.21300656e-02 2.67573407e-02 1.18459264e+00 3.41063245e-03 2.21852711e-02 1.03344994e-01 1.08520720e-01 1.17098089e+00 1.18823905e+01 1.81129758e-06 3.31037983e-06 1.96520832e-08 3.25325132e-05 5.29318094e-01 1.11196351e-07 3.47825732e-07 7.40532291e-07 3.45685208e-07 2.31045252e-05 2.06312881e-08 3.07912464e-08 2.66519873e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.69876366e-07
gen1751perm138 0.2170579431740046 7.54224238e-02 1.29956986e-02 2.12270173e-03 7.77390190e-04 2.58300736e-01 8.03643453e+00 3.57516803e-03 1.03950169e-01 3.87190438e-03 1.50426031e-01 7.40901783e-02 3.10218942e-02 1.43321404e+00 3.08013666e-03 2.03428053e-02 1.03755551e-01 1.12947048e-01 1.17098089e+00 1.09476265e+01 1.57192725e-06 3.31037983e-06 2.08292969e-08 3.26533649e-05 5.28312558e-01 1.01366488e-07 3.55761833e-07 7.87636614e-07 2.85375878e-07 2.01194349e-05 2.79097931e-08 2.49109436e-08 2.72286647e-06 5.07042183e-07 6.16989403e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm143 0.2172124617175480 7.46656327e-02 1.14910467e-02 1.56741527e-03 7.05492562e-04 2.80807849e-01 7.78513974e+00 3.59399124e-03 1.12657884e-01 3.87190438e-03 1.51423835e-01 8.21300656e-02 2.75224482e-02 1.40826963e+00 2.83591744e-03 2.34918676e-02 1.03755551e-01 1.14681003e-01 1.17098089e+00 1.14884697e+01 1.58590762e-06 3.31037983e-06 1.69710576e-08 3.32049806e-05 5.39024376e-01 1.11196351e-07 3.45901981e-07 7.34570009e-07 3.12620675e-07 2.38031178e-05 2.24424088e-08 2.73508493e-08 2.53564954e-06 5.31395197e-07 6.77127872e-05 5.98383675e-06 1.46105858e-01 3.95955286e-07
gen1751perm12 0.2172939491070041 7.54224238e-02 1.14910467e-02 2.12270173e-03 8.62864014e-04 2.80807849e-01 7.81793073e+00 3.59399124e-03 1.12657884e-01 4.86564884e-03 1.51423835e-01 7.15229834e-02 2.75224482e-02 1.27391684e+00 3.52793687e-03 2.18336780e-02 1.00290460e-01 1.12947048e-01 1.17098089e+00 1.16182528e+01 1.49667912e-06 3.31037983e-06 2.13708964e-08 3.61260338e-05 5.28312558e-01 1.00479772e-07 3.55761833e-07 6.91915291e-07 3.22356912e-07 2.44399306e-05 2.24424088e-08 2.29375806e-08 2.61682402e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 4.19438362e-07
gen1751perm100 0.2178405345596713 7.51937812e-02 1.23234769e-02 2.12270173e-03 8.34260355e-04 2.93600716e-01 7.84699558e+00 3.59399124e-03 1.09531250e-01 3.49932641e-03 1.52165979e-01 9.11532288e-02 3.00557818e-02 1.36354053e+00 3.33328663e-03 2.21852711e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.17086768e+01 1.68009516e-06 3.31037983e-06 1.88861392e-08 3.29777699e-05 5.28312558e-01 1.03059801e-07 3.90144734e-07 7.40532291e-07 2.96937080e-07 2.00999982e-05 2.77105025e-08 3.07912464e-08 2.59403163e-06 5.24253277e-07 7.14117398e-05 6.08760842e-06 1.45659649e-01 3.93840144e-07
gen1751perm4 0.2183680378016379 7.28870860e-02 1.18034867e-02 1.54127174e-03 8.06822781e-04 2.89475051e-01 8.11048780e+00 3.59399124e-03 1.16802932e-01 3.94313696e-03 1.44605632e-01 6.96743933e-02 2.51316197e-02 1.40826963e+00 2.94136801e-03 2.19340951e-02 1.03344994e-01 1.12406075e-01 1.17098089e+00 1.27246778e+01 1.72132008e-06 3.03979535e-06 1.92448038e-08 3.26533649e-05 5.28312558e-01 8.68176186e-08 3.65952797e-07 8.13107784e-07 2.67585534e-07 2.01194349e-05 2.86139369e-08 2.71851346e-08 2.66418298e-06 5.31395197e-07 6.60251229e-05 6.01677130e-06 1.46105858e-01 3.76157801e-07
gen1751perm11 0.2185487345240540 7.59910113e-02 1.29956986e-02 1.69515748e-03 7.47542507e-04 2.83789265e-01 8.64736478e+00 3.59399124e-03 1.10931273e-01 5.33597263e-03 1.50426031e-01 8.21300656e-02 2.67375839e-02 1.40826963e+00 3.10967828e-03 2.26390265e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.16182528e+01 1.58590762e-06 3.31037983e-06 2.08292969e-08 3.04819398e-05 5.28312558e-01 1.01366488e-07 3.78444467e-07 7.40532291e-07 3.05924236e-07 2.19214480e-05 2.87411280e-08 2.52899086e-08 2.53564954e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm88 0.2186166410212299 7.54224238e-02 1.18034867e-02 1.56741527e-03 8.06822781e-04 2.97782532e-01 7.78513974e+00 3.52725990e-03 1.09131502e-01 2.90111728e-03 1.52165979e-01 7.15229834e-02 3.01332662e-02 1.42045607e+00 2.68868322e-03 2.26390265e-02 1.03344994e-01 1.12947048e-01 1.17098089e+00 1.07835448e+01 1.81129758e-06 3.40783047e-06 1.94654028e-08 3.25325132e-05 5.28312558e-01 8.68176186e-08 3.39850467e-07 6.92681267e-07 2.44482189e-07 2.31045252e-05 2.86139369e-08 2.70357483e-08 2.53779573e-06 5.49267561e-07 6.64027842e-05 5.70033675e-06 1.46105858e-01 4.08712216e-07
gen1751perm25 0.2187769675929909 7.47206749e-02 1.15709771e-02 1.66027395e-03 8.34260355e-04 2.89333274e-01 7.78513974e+00 3.59399124e-03 1.10931273e-01 3.87190438e-03 1.55771099e-01 7.15229834e-02 2.95700104e-02 1.17048901e+00 2.98792375e-03 2.26390265e-02 1.03755551e-01 1.14728854e-01 1.17098089e+00 1.30219551e+01 1.68459098e-06 3.35785248e-06 1.90483561e-08 3.43560419e-05 5.28312558e-01 1.00828030e-07 3.83843297e-07 6.91915291e-07 3.22356912e-07 2.10119223e-05 2.87411280e-08 2.66448496e-08 2.53564954e-06 5.26965580e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.45934036e-07
gen1751perm36 0.2190651179496146 7.54224238e-02 1.22489293e-02 1.69515748e-03 8.27556543e-04 2.80807849e-01 7.78513974e+00 3.66210822e-03 1.10931273e-01 3.87190438e-03 1.59384967e-01 8.21300656e-02 3.17349611e-02 1.42060579e+00 3.24752115e-03 2.26390265e-02 1.11427533e-01 1.12406075e-01 1.17098089e+00 1.15036675e+01 1.57192725e-06 3.31037983e-06 2.08292969e-08 3.32049806e-05 5.20135834e-01 1.01366488e-07 3.83843297e-07 7.30576916e-07 3.11862845e-07 2.21436377e-05 3.15253702e-08 2.65523050e-08 2.87339127e-06 5.31395197e-07 6.77127872e-05 5.99038284e-06 1.46105858e-01 3.64806087e-07
gen1751perm86 0.2191176364329417 7.54224238e-02 1.16530683e-02 2.12270173e-03 8.39182399e-04 2.82202012e-01 8.06489178e+00 3.45882363e-03 1.09131502e-01 3.49932641e-03 1.46830487e-01 7.40901783e-02 2.84574121e-02 1.42045607e+00 3.41063245e-03 2.31015738e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.29107258e+01 1.45675071e-06 3.45203059e-06 2.08292969e-08 3.32049806e-05 5.28312558e-01 1.01366488e-07 3.68164309e-07 7.92577901e-07 3.12409319e-07 1.93968991e-05 3.08625866e-08 2.51339257e-08 2.61682402e-06 5.67193537e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.57188963e-07
gen1751perm117 0.2195301370733979 7.47206749e-02 1.15709771e-02 1.56741527e-03 8.34260355e-04 2.79777691e-01 7.78513974e+00 3.59399124e-03 1.11062754e-01 5.06447526e-03 1.57621144e-01 7.55771079e-02 2.95700104e-02 1.47957915e+00 3.59189951e-03 2.26390265e-02 1.09445739e-01 1.12406075e-01 1.15634784e+00 1.16182528e+01 1.68459098e-06 3.30965310e-06 1.90483561e-08 3.29777699e-05 5.28312558e-01 1.07472850e-07 3.83843297e-07 6.89704135e-07 3.22356912e-07 2.21868611e-05 2.92252816e-08 2.65523050e-08 2.53564954e-06 5.30366963e-07 6.73582974e-05 6.01677130e-06 1.46105858e-01 4.40835891e-07
gen1751perm83 0.2195800595893727 7.43344043e-02 1.23234769e-02 1.66027395e-03 7.77390190e-04 3.15065873e-01 7.09505650e+00 3.63263464e-03 1.13867198e-01 6.03299272e-03 1.59764110e-01 6.37048390e-02 2.67573407e-02 1.35133442e+00 3.09349605e-03 2.21852711e-02 1.13006800e-01 1.12947048e-01 1.17098089e+00 1.08405703e+01 1.62547509e-06 3.31037983e-06 1.96868318e-08 3.25325132e-05 5.28312558e-01 1.03049882e-07 3.55761833e-07 7.87636614e-07 2.85375878e-07 1.87387206e-05 3.04809193e-08 2.72475667e-08 2.59835352e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.74874775e-07
gen1751perm136 0.2196003197246166 7.51937812e-02 1.23234769e-02 1.47790746e-03 8.17606501e-04 2.82202012e-01 7.84699558e+00 3.66210822e-03 1.09531250e-01 3.87190438e-03 1.52165979e-01 9.11532288e-02 3.00557818e-02 1.30618194e+00 3.23089062e-03 2.26390265e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.17086768e+01 1.77878639e-06 3.35508268e-06 1.96277497e-08 3.32049806e-05 5.28312558e-01 9.57394934e-08 3.90144734e-07 7.40532291e-07 3.11862845e-07 2.21436377e-05 3.15253702e-08 2.51339257e-08 2.63240842e-06 5.24253277e-07 6.78731236e-05 6.01677130e-06 1.46105858e-01 3.52980800e-07
gen1751perm129 0.2200224230151800 7.60859128e-02 1.25869168e-02 1.65594168e-03 6.80819134e-04 2.80807849e-01 7.75185754e+00 3.59399124e-03 1.12657884e-01 4.99817392e-03 1.56575777e-01 7.15229834e-02 2.50182289e-02 1.40826963e+00 3.44893595e-03 2.30850033e-02 1.00157172e-01 1.18145764e-01 1.19686851e+00 1.14065574e+01 1.71459819e-06 3.30965310e-06 2.15000261e-08 3.17835674e-05 5.28312558e-01 1.01366488e-07 3.65952797e-07 7.56020808e-07 2.97666326e-07 1.93059506e-05 2.92252816e-08 2.77381868e-08 2.63240842e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.51499262e-01 3.74874775e-07
gen1751perm134 0.2200284008225440 7.54224238e-02 1.29956986e-02 2.29436250e-03 7.77390190e-04 3.01833669e-01 8.32801035e+00 3.57516803e-03 1.13890414e-01 4.18181571e-03 1.50426031e-01 7.40901783e-02 2.84574121e-02 1.40826963e+00 3.20642975e-03 2.16580039e-02 1.03755551e-01 1.12077080e-01 1.17098089e+00 1.19606954e+01 1.81129758e-06 3.23017369e-06 1.96520832e-08 3.25325132e-05 5.28312558e-01 9.20369779e-08 3.25992413e-07 6.89120229e-07 2.98969678e-07 2.01194349e-05 2.79097931e-08 2.73508493e-08 2.72286647e-06 5.15007909e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.92624950e-07
gen1751perm3 0.2203626576280650 7.54224238e-02 1.23234769e-02 1.62671129e-03 8.34260355e-04 2.93600716e-01 8.06077720e+00 3.59399124e-03 1.05930040e-01 3.49932641e-03 1.52165979e-01 9.11532288e-02 2.96673141e-02 1.45234221e+00 2.68868322e-03 2.04256226e-02 1.13966848e-01 1.15681044e-01 1.17098089e+00 1.14470723e+01 1.60060943e-06 3.34406097e-06 1.98950995e-08 3.30139251e-05 5.28312558e-01 1.03059801e-07 3.65952797e-07 7.87636614e-07 2.65444807e-07 2.01194349e-05 2.79097931e-08 2.70357483e-08 2.68463954e-06 5.24253277e-07 6.77127872e-05 5.99769208e-06 1.46105858e-01 4.13916343e-07
gen1751perm46 0.2209679832815941 7.51937812e-02 1.26494351e-02 1.70734175e-03 8.17606501e-04 2.93600716e-01 7.84699558e+00 3.59399124e-03 1.08946696e-01 3.49932641e-03 1.42604536e-01 9.11532288e-02 2.75262986e-02 1.18459264e+00 3.41063245e-03 2.21852711e-02 9.80559176e-02 1.17841430e-01 1.17098089e+00 1.18552451e+01 1.73754131e-06 3.35508268e-06 1.87788918e-08 3.30139251e-05 5.28312558e-01 1.03059801e-07 3.59624017e-07 7.56791089e-07 2.55487416e-07 2.25049981e-05 2.79097931e-08 2.71851346e-08 2.66418298e-06 5.43862726e-07 6.60251229e-05 5.99769208e-06 1.46105858e-01 4.03416554e-07
gen1751perm16 0.2210910729601924 7.54224238e-02 1.23234769e-02 2.12270173e-03 8.53497240e-04 2.79694731e-01 7.78513974e+00 3.59399124e-03 1.13655152e-01 3.87190438e-03 1.50426031e-01 7.36306620e-02 3.10218942e-02 1.42045607e+00 3.41063245e-03 2.21852711e-02 1.06880984e-01 1.12947048e-01 1.18766117e+00 1.14470723e+01 1.81129758e-06 3.31037983e-06 2.13708964e-08 3.25325132e-05 5.28312558e-01 9.57394934e-08 3.68164309e-07 7.30576916e-07 2.85375878e-07 2.31045252e-05 2.79097931e-08 2.71851346e-08 2.39188120e-06 5.31395197e-07 6.41385003e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm106 0.2216183849335962 7.47206749e-02 1.26494351e-02 1.61413611e-03 8.17606501e-04 2.93600716e-01 8.06200982e+00 3.37855510e-03 1.05930040e-01 3.31508713e-03 1.54940551e-01 7.15229834e-02 2.94018197e-02 1.40826963e+00 3.24752115e-03 2.26390265e-02 1.03755551e-01 1.12077080e-01 1.15196280e+00 1.18552451e+01 1.81955758e-06 3.34406097e-06 1.96520832e-08 3.32049806e-05 5.28312558e-01 9.73789718e-08 3.42714229e-07 6.50259455e-07 2.90621409e-07 2.07985557e-05 3.32964151e-08 2.65523050e-08 2.65547335e-06 5.43862726e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 4.05016414e-07
gen1751perm2 0.2220762799897869 7.54224238e-02 1.29956986e-02 2.12270173e-03 8.11875278e-04 3.01833669e-01 7.78513974e+00 3.59399124e-03 1.03950169e-01 4.38260453e-03 1.50426031e-01 9.00379840e-02 2.84574121e-02 1.43321404e+00 3.41063245e-03 2.33311061e-02 1.03755551e-01 1.20197416e-01 1.16841389e+00 1.19606954e+01 1.81129758e-06 3.23755718e-06 2.08292969e-08 2.98836861e-05 5.22803057e-01 9.47643375e-08 3.55761833e-07 7.14066988e-07 3.18883437e-07 2.31045252e-05 3.12824429e-08 2.73241367e-08 2.72286647e-06 5.46259883e-07 6.64027842e-05 6.24829546e-06 1.46105858e-01 3.93840144e-07
gen1751perm120 0.2223501217019665 7.54224238e-02 1.23234769e-02 1.66027395e-03 7.77390190e-04 2.93600716e-01 7.78513974e+00 3.59399124e-03 1.12657884e-01 4.30071959e-03 1.40247282e-01 7.40901783e-02 2.84574121e-02 1.37528135e+00 3.75553170e-03 2.31723641e-02 1.06880984e-01 1.12406075e-01 1.17098089e+00 1.43295253e+01 1.72132008e-06 3.31037983e-06 1.88861392e-08 3.11747705e-05 5.28312558e-01 1.03059801e-07 3.68707237e-07 6.92681267e-07 3.11361870e-07 2.33996188e-05 2.58295756e-08 2.31049110e-08 2.86042408e-06 5.44381860e-07 6.64027842e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm66 0.2226419276515146 7.54224238e-02 1.25897785e-02 1.63551650e-03 7.78343577e-04 2.80807849e-01 7.61054258e+00 3.52725990e-03 1.08348615e-01 5.33597263e-03 1.52165979e-01 7.76102156e-02 2.93886917e-02 1.34658946e+00 3.31164714e-03 2.25213109e-02 9.99523086e-02 1.01564456e-01 1.18194663e+00 1.18999851e+01 1.41245500e-06 3.35508268e-06 1.96277497e-08 3.43560419e-05 5.28312558e-01 1.07472850e-07 3.65952797e-07 8.06843154e-07 3.02905621e-07 2.39805533e-05 2.84444573e-08 2.89287882e-08 2.53564954e-06 5.31395197e-07 6.81301691e-05 6.01677130e-06 1.46105858e-01 4.40835891e-07
